Item,Category,Price,Review,Region,AgeGroup,ProductID
Laptop,Electronics,999.99,Great performance and battery life,North America,25-34,1
Headphones,Electronics,199.99,Excellent sound quality,Europe,18-24,2
Coffee Maker,Home Appliances,79.99,Brews quickly and tastes great,Asia,35-44,3
Running Shoes,Sportswear,120,Very comfortable and durable,South America,25-34,4
Smartphone,Electronics,699.99,Fast and user-friendly,North America,18-24,5
Blender,Home Appliances,49.99,Powerful and easy to clean,Europe,45-54,6
Yoga Mat,Sportswear,30,Non-slip and good thickness,Asia,35-44,7
Tablet,Electronics,329.99,Lightweight and good battery life,South America,25-34,8
Vacuum Cleaner,Home Appliances,150,Strong suction and quiet,North America,45-54,9
Fitness Tracker,Sportswear,99.99,Accurate tracking and comfortable,Europe,18-24,10
Laptop,Electronics,999.99,Great performance and battery life,North America,25-34,11
Headphones,Electronics,199.99,Excellent sound quality,Europe,18-24,12
Coffee Maker,Home Appliances,79.99,Brews quickly and tastes great,Asia,35-44,13
Running Shoes,Sportswear,120,Very comfortable and durable,South America,25-34,14
Smartphone,Electronics,699.99,Fast and user-friendly,North America,18-24,15
Blender,Home Appliances,49.99,Powerful and easy to clean,Europe,45-54,16
Yoga Mat,Sportswear,30,Non-slip and good thickness,Asia,35-44,17
Tablet,Electronics,329.99,Lightweight and good battery life,South America,25-34,18
Vacuum Cleaner,Home Appliances,150,Strong suction and quiet,North America,45-54,19
Fitness Tracker,Sportswear,99.99,Accurate tracking and comfortable,Europe,18-24,20
Laptop,Electronics,999.99,Great performance and battery life,North America,25-34,21
Headphones,Electronics,199.99,Excellent sound quality,Europe,18-24,22
Coffee Maker,Home Appliances,79.99,Brews quickly and tastes great,Asia,35-44,23
Running Shoes,Sportswear,120,Very comfortable and durable,South America,25-34,24
Smartphone,Electronics,699.99,Fast and user-friendly,North America,18-24,25
Blender,Home Appliances,49.99,Powerful and easy to clean,Europe,45-54,26
Yoga Mat,Sportswear,30,Non-slip and good thickness,Asia,35-44,27
Tablet,Electronics,329.99,Lightweight and good battery life,South America,25-34,28
Vacuum Cleaner,Home Appliances,150,Strong suction and quiet,North America,45-54,29
Fitness Tracker,Sportswear,99.99,Accurate tracking and comfortable,Europe,18-24,30
Laptop,Electronics,999.99,Great performance and battery life,North America,25-34,31
Headphones,Electronics,199.99,Excellent sound quality,Europe,18-24,32
Coffee Maker,Home Appliances,79.99,Brews quickly and tastes great,Asia,35-44,33
Running Shoes,Sportswear,120,Very comfortable and durable,South America,25-34,34
Smartphone,Electronics,699.99,Fast and user-friendly,North America,18-24,35
Blender,Home Appliances,49.99,Powerful and easy to clean,Europe,45-54,36
Yoga Mat,Sportswear,30,Non-slip and good thickness,Asia,35-44,37
Tablet,Electronics,329.99,Lightweight and good battery life,South America,25-34,38
Vacuum Cleaner,Home Appliances,150,Strong suction and quiet,North America,45-54,39
Fitness Tracker,Sportswear,99.99,Accurate tracking and comfortable,Europe,18-24,40
Laptop,Electronics,999.99,Great performance and battery life,North America,25-34,41
Headphones,Electronics,199.99,Excellent sound quality,Europe,18-24,42
Coffee Maker,Home Appliances,79.99,Brews quickly and tastes great,Asia,35-44,43
Running Shoes,Sportswear,120,Very comfortable and durable,South America,25-34,44
Smartphone,Electronics,699.99,Fast and user-friendly,North America,18-24,45
Blender,Home Appliances,49.99,Powerful and easy to clean,Europe,45-54,46
Yoga Mat,Sportswear,30,Non-slip and good thickness,Asia,35-44,47
Tablet,Electronics,329.99,Lightweight and good battery life,South America,25-34,48
Vacuum Cleaner,Home Appliances,150,Strong suction and quiet,North America,45-54,49
Fitness Tracker,Sportswear,99.99,Accurate tracking and comfortable,Europe,18-24,50
Laptop,Electronics,999.99,Great performance and battery life,North America,25-34,51
Headphones,Electronics,199.99,Excellent sound quality,Europe,18-24,52
Coffee Maker,Home Appliances,79.99,Brews quickly and tastes great,Asia,35-44,53
Running Shoes,Sportswear,120,Very comfortable and durable,South America,25-34,54
Smartphone,Electronics,699.99,Fast and user-friendly,North America,18-24,55
Blender,Home Appliances,49.99,Powerful and easy to clean,Europe,45-54,56
Yoga Mat,Sportswear,30,Non-slip and good thickness,Asia,35-44,57
Tablet,Electronics,329.99,Lightweight and good battery life,South America,25-34,58
Vacuum Cleaner,Home Appliances,150,Strong suction and quiet,North America,45-54,59
Fitness Tracker,Sportswear,99.99,Accurate tracking and comfortable,Europe,18-24,60
Laptop,Electronics,999.99,Great performance and battery life,North America,25-34,61
Headphones,Electronics,199.99,Excellent sound quality,Europe,18-24,62
Coffee Maker,Home Appliances,79.99,Brews quickly and tastes great,Asia,35-44,63
Running Shoes,Sportswear,120,Very comfortable and durable,South America,25-34,64
Smartphone,Electronics,699.99,Fast and user-friendly,North America,18-24,65
